Antibiotic	Acc	Conf_low	Conf_high	Count
AMC	0.9444469754393483	0.9296849075340573	0.9592090433446393	3797
AMK	0.8613665412429945	0.8471146347198578	0.8756184477661312	1926
AMP	0.9225445027622404	0.9114735906481691	0.9336154148763117	5384
ATM	0.9128405441788747	0.8968919917113536	0.9287890966463959	1422
AZM	0.9150994815662024	0.9077998554233235	0.9223991077090812	5300
CAZ	0.8125038238494617	0.7994686655612275	0.8255389821376959	2016
CFM	0.8302418044248926	0.7947850695167383	0.8656985393330469	1048
CHL	0.941223294001851	0.9370657549096414	0.9453808330940606	6431
CIP	0.8487629934188818	0.8427389982471316	0.8547869885906321	9720
CLI	0.7741065235828064	0.7383765912805518	0.809836455885061	531
CRO	0.8964824756631244	0.888134976652047	0.9048299746742019	8511
CST	0.8843354918285538	0.8378627876042465	0.930808196052861	233
CTX	0.8521179677453873	0.8304846716890105	0.873751263801764	1129
CXM	0.9475484046904826	0.9269651478668054	0.9681316615141599	953
EMB	0.9557570757202264	0.9446411742088705	0.9668729772315823	836
ERY	0.554225081106674	0.5517149168973124	0.5567352453160356	3744
ETP	0.7672891907187323	0.7309835365955379	0.8035948448419266	301
FEP	0.6800302358313767	0.6379810063191714	0.7220794653435819	1094
FIS	0.9292476737462234	0.9197418295365714	0.9387535179558755	3350
FOX	0.9412391314188527	0.9325566111421414	0.9499216516955641	5173
GEN	0.871654375895886	0.8612417378562729	0.8820670139354991	6007
INH	0.7773535768699287	0.7426152471298103	0.812091906610047	840
IPM	0.84080564279883	0.8182281061405209	0.863383179457139	1702
KAN	0.9637529137529137	0.9448697694764077	0.9826360580294198	718
LVX	0.8778376122992346	0.8503201998442953	0.905355024754174	1850
MEM	0.7939442715612843	0.7677466224105879	0.8201419207119808	1747
NAL	0.9628555337908471	0.9583572900702073	0.9673537775114869	3769
NIT	0.9621029527044682	0.942565243356839	0.9816406620520974	872
PEN	0.7904249686588963	0.7735166605932964	0.8073332767244963	5382
RIF	0.8951614904486774	0.8843192678734192	0.9060037130239357	973
SAM	0.9725507891087787	0.9633628468394119	0.9817387313781455	1312
SPT	0.9926227040048179	0.9842603458905996	1.0009850621190362	407
STR	0.9165896575617646	0.9098704695185201	0.923308845605009	3129
SXT	0.8229099832224545	0.8125562152093442	0.8332637512355647	8640
TEL	0.978445883441258	0.9781313194354032	0.9787604474471129	232
TET	0.8706612389954076	0.8602260901902505	0.8810963878005647	9139
TGC	0.8172362724994304	0.8008010876697365	0.8336714573291244	662
TIO	0.9743884892086332	0.9631316998931834	0.985645278524083	3475
TMP	0.8252486360849796	0.7802861667134751	0.8702111054564841	303
TOB	0.919023836962045	0.9034156908655785	0.9346319830585116	1532
TZP	0.7627372304854145	0.7468588525552851	0.778615608415544	1471
all	0.8747615443386891	0.8736686837949128	0.8758544048824655	118989
cefazoline	0.9559850032389722	0.9318237547946292	0.9801462516833152	1386
florfenicol	0.9876700680272108	0.9649450371869509	1.0103950988674706	239
penicillin_g	0.8149532875022036	0.7603212930677499	0.8695852819366574	303
