Antibiotic	VME_Acc	VME_Conf_low	VME_Conf_high	ME_Acc	ME_Conf_low	ME_Conf_high	Res_Count	Sus_Count
AMC	0.161017666349	0.117138402898	0.204896929801	0.0853124385286	0.0662118950006	0.104412982057	689	1512
AMK	0.11309010503	0.0867522178103	0.139427992251	0.0392991239049	0.0295570014342	0.0490412463756	672	3995
AMP	0.0240707964602	0.019011459839	0.0291301330814	0.017643530964	0.0115185769455	0.0237684849825	2825	5951
AMX	0.166666666667	0.134081437412	0.199251895921	0.137209302326	0.0909001209918	0.183518483659	330	219
ATM	0.0127020564323	0.00458909938074	0.0208150134839	0.0719298245614	0.0574984889567	0.0863611601661	1023	1710
AZM	0.0495073891626	0.0260311864427	0.0729835918824	0.0187140902873	0.00219176002373	0.0352364205508	141	427
CAP	0.168076923077	0.100285577663	0.23586826849	0.0789939192924	0.0464654859585	0.111522352626	197	671
CAZ	0.023956043956	0.00923564662128	0.0386764412908	0.0433310145352	0.0348310461151	0.0518309829553	1753	2862
CEF	0.172727272727	0.0644579755646	0.28099656989	0.0421052631579	-0.0125710859833	0.0967816122991	53	95
CFM	0.0436507936508	-0.0146259341683	0.10192752147	0.014371314741	0.0068669507426	0.0218756787395	136	1252
CHL	0.072080963533	0.0602772357662	0.0838846912997	0.0250714966635	0.0213849947135	0.0287579986135	1221	10490
CIP	0.0239791353063	0.0168831423427	0.0310751282699	0.0511978704525	0.0442341943183	0.0581615465867	4087	11270
CLI	0.107308048104	0.0463294011007	0.168286695107	0.0479166666667	0.0283012844964	0.067532048837	232	480
CRO	0.00906897980069	0.00520949524249	0.0129284643589	0.0111392405063	0.00958507566836	0.0126934053443	1433	5925
CTX	0.0252873563218	0.00183606733362	0.0487386453101	0.0306569343066	0.0188399139802	0.0424739546329	435	1370
CXM	0.0907839344635	0.063641229916	0.117926639011	0.0675159235669	0.0293406289739	0.10569121816	936	785
DCS	0.347435897436	0.188009602638	0.506862192233	0.150241545894	0.0799350424664	0.220548049321	61	226
EMB	0.126315789474	0.111541447432	0.141090131516	0.0911646586345	0.0837917159516	0.0985376013175	1425	7470
ERY	0.0460835212	0.0351587670822	0.0570082753178	0.0260801256874	0.0207645058925	0.0313957454822	3038	6365
ETP	0.00714285714286	-0.0126888936086	0.0269746078943	0.0540499849443	0.045761083526	0.0623388863626	280	407
FA	0.295238095238	0.21814610549	0.372330084986	0.0362204724409	0.0250731119923	0.0473678328896	105	635
FEP	0.031847133758	0.0160297579847	0.0476645095313	0.112787627727	0.10277249243	0.122802763024	785	2128
FIS	0.072	0.0357286730316	0.108271326968	0.0512559038214	0.0280952339997	0.0744165736431	375	683
FOX	0.109228911506	0.0818232022702	0.136634620742	0.0471337039799	0.027837382636	0.0664300253238	934	1718
GEN	0.0510287447059	0.0362208388348	0.065836650577	0.0602412125988	0.0513684092124	0.0691140159851	1411	9047
INH	0.182565128205	0.158036735187	0.207093521224	0.0272070023041	0.022852645503	0.0315613591053	3122	6616
IPM	0.0713286163522	0.0323278647831	0.110329367921	0.0327896930367	0.0267872167659	0.0387921693075	799	2806
KAN	0.152295081967	0.12190537012	0.182684793814	0.0596626532764	0.0389156921864	0.0804096143664	302	1341
LVX	0.0301656238498	0.0165045532851	0.0438266944145	0.0484725050916	0.0360322215246	0.0609127886587	1426	2455
MEM	0.084	0.0549687733956	0.113031226604	0.0372472060086	0.0341045117219	0.0403899002954	750	2631
MET	0.0155025051577	0.0106746165279	0.0203303937874	0.00903983656793	-0.00633026918436	0.0244099423202	581	443
MXF	0.257142857143	0.122637379404	0.391648334882	0.140947797112	0.103996312148	0.177899282076	70	369
NAL	0.187719298246	0.0802442947377	0.295194301754	0.067005497355	0.0549309767471	0.079080017963	192	1552
NIT	0.0267117249486	0.00687036326167	0.0465530866355	0.0410714285714	0.0225205243985	0.0596223327443	413	560
OFX	0.27	0.243017803588	0.296982196412	0.178625753999	0.142517102988	0.214734405011	300	616
PAS	0.4	0.247927838621	0.552072161379	0.0792452830189	0.0407497709061	0.117740795132	50	265
PEN	0.0645418326693	0.049537237543	0.0795464277956	0.0286030751771	0.0235127363379	0.0336934140162	1255	3706
PZA	0.16818780993	0.143233041656	0.193142578205	0.0799477339788	0.0748403890368	0.0850550789208	892	5291
RIF	0.112355212355	0.0958000471564	0.128910377554	0.0242484553618	0.0182143235964	0.0302825871272	2590	7341
