	brain, spinal cord	circulatory system	gastrointestinal tract	mucus	nasal, oral and pharynx	rectal, perirectal, anal	respiratory tract	skin, soft tissue	sputum	stool	urogenital tract	wound	
brain, spinal cord	398	864	0	0	278	0	0	0	0	0	0	0	0
circulatory system	403	5027	1	0	744	9	107	16	135	162	535	90	0
gastrointestinal tract	0	10	651	2	0	1	48	0	0	75	28	0	0
mucus	0	0	18	22	0	0	0	0	0	0	0	0	0
nasal, oral and pharynx	52	465	0	0	5726	0	52	107	137	0	1	27	0
rectal, perirectal, anal	0	72	1	0	0	252	6	0	8	40	90	7	0
respiratory tract	4	264	8	0	118	1	624	8	118	0	218	80	0
skin, soft tissue	0	18	0	0	96	0	0	416	0	0	0	12	0
sputum	1	190	2	0	168	19	70	7	922	19	59	23	0
stool	0	156	21	0	1	9	1	0	8	3077	172	0	0
urogenital tract	0	375	10	0	0	11	149	0	34	147	1437	37	0
wound	0	145	0	0	99	2	81	12	63	0	141	338	0
	0	0	0	0	0	0	0	0	0	0	0	0	1
