Antibiotic	VME_Acc	VME_Conf_low	VME_Conf_high	ME_Acc	ME_Conf_low	ME_Conf_high	Res_Count	Sus_Count
AMC	0.0093038913300936	0.0005718337925495632	0.01803594886763764	0.02852966910594973	0.017074701846556826	0.039984636365342635	1400	2243
AMK	0.0023512364113476474	-0.0007035965597598781	0.005406069382455173	0.7047619047619047	0.5929667922520981	0.8165570172717113	1700	71
AMP	0.00404268284042116	0.0021706345227623337	0.005914731158079987	0.07233009708737863	0.06318894811481338	0.08147124605994388	2969	2060
ATM	0.0	0.0	0.0	0.25555555555555554	0.1427336379364107	0.3683774731747004	1322	43
AZM	0.01097836042267576	0.004725563084211141	0.01723115776114038	0.002859059545106057	-0.002247261248037848	0.007965380338249962	1913	2796
CAZ	0.0005434782608695652	-0.0009654592963031515	0.002052415818042282	0.5469187986651836	0.46442762724292447	0.6294099700874427	1840	150
CFM	nan	nan	nan	0.0009569377990430621	-0.0016999474690888026	0.0036138230671749266	0	1048
CHL	0.0003631418445561691	-0.0002542795742647326	0.0009805632633770709	0.5372294372294372	0.37650829401955355	0.6979505804393208	5509	65
CIP	0.052766638616175775	0.04760324011896852	0.05793003711338303	0.008225586762007485	0.005467072056612269	0.010984101467402701	3108	6198
CLI	0.5	0.3536684944858193	0.6463315055141807	0.001941747572815534	-0.003449407971257861	0.007332903116888929	12	513
CRO	0.019888037467474584	0.010412510814325933	0.029363564120623235	0.008442280726226617	0.005926495061367146	0.010958066391086088	2064	6397
CST	0.11666666666666665	-0.08503739393075598	0.31837072726408927	0.004878048780487805	-0.008665585879013653	0.01842168343998926	16	206
CTX	0.00792982228327604	-0.0010830404446443478	0.016942685011196425	0.07729886979667489	0.05107695788135712	0.10352078171199265	757	349
CXM	0.0	0.0	0.0	nan	nan	nan	953	0
EMB	0.004036036036036037	-0.0034555197349240797	0.011527591806996154	0.20326340326340325	0.031246406500905655	0.37528040002590085	744	59
ERY	0.14612582781456956	0.11611197650692838	0.17613967912221076	0.023423117962966276	0.012869825701687147	0.033976410224245406	1498	2177
ETP	0.01951219512195122	-0.019973945968505036	0.05899833621240748	0.16432748538011693	0.0782432941456866	0.2504116766145473	202	92
FEP	0.0011904761904761904	-0.0021148156014259506	0.004495767982378332	0.6170707070707071	0.5639546732726809	0.6701867408687333	840	222
FIS	0.0	0.0	0.0	nan	nan	nan	3350	0
FOX	0.0	0.0	0.0	0.06945812807881774	0.01700161848905684	0.12191463766857863	3275	144
GEN	0.027868776233183012	0.024042653015153553	0.031694899451212476	0.044953416072538985	0.04092312201453755	0.04898371013054042	1758	3826
INH	0.6803030303030304	0.49980517335132396	0.8608008872547368	0.0026143790849673205	-0.001830636474890568	0.007059394644825209	59	770
IPM	0.045183016683889174	0.0255235739782522	0.06484245938952615	0.04855949118453835	0.01898519415167344	0.07813378821740327	663	925
KAN	0.0	0.0	0.0	nan	nan	nan	718	0
LVX	0.015345884684036692	0.003639959928262713	0.02705180943981067	0.1352112676056338	0.0818793481459231	0.18854318706534448	1435	355
MEM	0.06657360126373021	0.05518710676511192	0.07796009576234851	0.061622992392223165	0.01867710588590627	0.10456887889854005	827	843
NAL	0.0003590664272890485	-0.0006378617971984914	0.0013559946517765883	0.36666666666666664	0.09684470254854893	0.6364886307847843	2787	18
NIT	0.0	0.0	0.0	nan	nan	nan	872	0
PEN	0.23972204665076086	0.12580799968924028	0.35363609361228143	0.003043011326092079	0.00028072430483138495	0.005805298347352774	395	4599
RIF	0.08972431077694235	0.0422532009748667	0.13719542057901798	0.008006568144499179	-7.967396126059602e-05	0.01609281025025895	99	874
SAM	0.0	0.0	0.0	nan	nan	nan	1267	0
SPT	0.0	0.0	0.0	0.008333333333333333	-0.014803709209981657	0.031470375876648325	289	118
STR	0.0030491699664909103	-3.055525041820856e-05	0.006128895183400029	0.027797955152782623	0.009890300288684303	0.04570561001688094	2296	756
SXT	0.05850408149853946	0.04657986585452575	0.07042829714255316	0.025154216565185007	0.022010031097964677	0.028298402032405336	3008	5368
TEL	nan	nan	nan	0.0	0.0	0.0	0	222
TET	0.003313481701354907	0.0008749764003801175	0.005751987002329696	0.09231832502514603	0.07195855970255699	0.11267809034773507	6641	1387
TGC	0.3545454545454546	0.23218802716645887	0.47690288192445035	0.03299086757990868	0.013710650063281184	0.05227108509653617	110	363
TIO	0.00761904761904762	-0.002274767939843522	0.01751286317793876	0.007370887676132335	0.00173560134260335	0.01300617400966132	526	2848
TMP	0.22585858585858584	0.13713026598735872	0.31458690572981296	0.008	-0.005601747613165139	0.02160174761316514	52	241
TOB	0.0	0.0	0.0	0.26628001628001624	0.21133296259986126	0.3212270699601712	1080	135
TZP	0.0	0.0	0.0	nan	nan	nan	1457	0
all	0.017409853085607448	0.01557222551981305	0.019247480651401843	0.030048308197693198	0.02856101570208652	0.03153560069329987	61173	48988
cefazoline	0.0	0.0	0.0	0.47000000000000003	0.19725754341502633	0.7427424565849737	1345	21
florfenicol	1.0	nan	nan	0.0	0.0	0.0	1	228
penicillin_g	0.25	0.07078123909849707	0.4292187609015029	0.0	0.0	0.0	16	258
