Antibiotic	Acc	Conf_low	Conf_high	Count
AMC	0.89096165739	0.872819875537	0.909103439244	2201
AMK	0.950072410382	0.940519196813	0.959625623951	4667
AMP	0.980287366392	0.975501223491	0.985073509293	8776
AMX	0.845087572977	0.808488570007	0.881686575948	549
ATM	0.950238061755	0.939788221082	0.960687902429	2733
AZM	0.973605772801	0.965968683665	0.981242861936	568
CAP	0.900836090625	0.863433820612	0.938238360638	868
CAZ	0.964027954671	0.958027759733	0.970028149609	4615
CEF	0.911494252874	0.845610768247	0.9773777375	148
CFM	0.982710438148	0.978983963842	0.986436912454	1388
CHL	0.970028243368	0.966585282896	0.973471203839	11711
CIP	0.956046186435	0.950563075088	0.961529297782	15357
CLI	0.932611050921	0.915868395794	0.949353706048	712
CRO	0.98926362575	0.987643549013	0.990883702487	7358
CTX	0.970637119114	0.960433876272	0.980840361956	1805
CXM	0.919819683182	0.901899432699	0.937739933664	1721
DCS	0.808325899494	0.761973391291	0.854678407698	287
EMB	0.903204047218	0.896630648877	0.909777445558	8895
ERY	0.967456592804	0.961336902967	0.973576282641	9403
ETP	0.96505871152	0.957431055615	0.972686367425	687
FA	0.927027027027	0.912019215648	0.942034838406	740
FEP	0.909024302547	0.89884053431	0.919208070784	2913
FIS	0.941397657158	0.938146337551	0.944648976765	1058
FOX	0.93100513466	0.917799834681	0.944210434638	2652
GEN	0.941001862667	0.932418990128	0.949584735206	10458
INH	0.922983076159	0.913650631688	0.93231552063	9738
IPM	0.958670020734	0.95407920965	0.963260831818	3605
KAN	0.923296760323	0.904967448432	0.941626072214	1643
LVX	0.958256046916	0.948535324992	0.96797676884	3881
MEM	0.95238215937	0.945854952619	0.958909366121	3381
MET	0.987302586675	0.98185799893	0.99274717442	1024
MXF	0.840491118077	0.796567472882	0.884414763272	439
NAL	0.919719724665	0.908966520876	0.930472928453	1744
NIT	0.965033042559	0.947240585932	0.982825499185	973
OFX	0.791452839154	0.760978421333	0.821927256975	916
PAS	0.869841269841	0.840608169318	0.899074370365	315
PEN	0.96230589936	0.955646348532	0.968965450188	4961
PZA	0.907324720785	0.899779894281	0.91486954729	6183
RIF	0.952773845707	0.947958164535	0.957589526879	9931
SAM	0.978463542482	0.971727497123	0.985199587841	2415
SPT	0.893548387097	0.813447877777	0.973648896416	159
STR	0.900795712607	0.88768741828	0.913904006933	4758
SXT	0.934090035766	0.930069664293	0.938110407239	17008
TET	0.944555790186	0.938678324005	0.950433256366	10984
TIO	0.968705957719	0.958388695234	0.979023220204	1118
TMP	0.83464147578	0.827368129243	0.841914822318	641
TOB	0.945822412335	0.938009743171	0.953635081499	3784
TZP	0.909509276572	0.897406578086	0.921611975058	3669
VAN	0.977585437786	0.966612609691	0.98855826588	938
all	0.944613511658	0.94414172217	0.945085301146	198803
cefazoline	0.985806451613	0.978843304152	0.992769599074	2325
