1005403.3	SRR504727	Escherichia coli	food production	meat product	beef	
1005404.3	SRR504728	Escherichia coli	food production	meat product	beef	
1005462.3	SRR504311	Escherichia coli	food production	meat product	beef	
1005464.3	SRR504304	Escherichia coli	food production	meat product	beef	
1005557.3	SRR427086	Escherichia coli	food production	meat product	beef	
1005558.3	SRR427081	Escherichia coli	food production	meat product	beef	
1005562.3	SRR427082	Escherichia coli	food production	meat product	beef	
1005563.3	SRR436787	Escherichia coli	environmental	water	
1005567.3	SRR436891	Escherichia coli	food production	meat product	beef	
101571.10	SRR1956437	Burkholderia ubonensis	environmental	soil	
101571.101	SRR1956025	Burkholderia ubonensis	environmental	soil	
101571.102	SRR1956026	Burkholderia ubonensis	environmental	soil	
101571.103	SRR1956027	Burkholderia ubonensis	environmental	soil	
101571.104	SRR1956028	Burkholderia ubonensis	environmental	soil	
101571.105	SRR1956029	Burkholderia ubonensis	environmental	soil	
101571.106	SRR1956030	Burkholderia ubonensis	environmental	soil	
101571.107	SRR1956031	Burkholderia ubonensis	environmental	soil	
101571.108	SRR1956032	Burkholderia ubonensis	environmental	soil	
101571.109	SRR1956035	Burkholderia ubonensis	environmental	soil	
101571.11	SRR1956356	Burkholderia ubonensis	environmental	soil	
101571.110	SRR1956036	Burkholderia ubonensis	environmental	soil	
101571.111	SRR1956111	Burkholderia ubonensis	environmental	soil	
101571.112	SRR1956107	Burkholderia ubonensis	environmental	soil	
101571.113	SRR1956112	Burkholderia ubonensis	environmental	soil	
101571.114	SRR1956113	Burkholderia ubonensis	environmental	soil	
101571.115	SRR1956114	Burkholderia ubonensis	environmental	soil	
101571.116	SRR1956116	Burkholderia ubonensis	environmental	soil	
101571.117	SRR1956118	Burkholderia ubonensis	environmental	soil	
101571.118	SRR1956123	Burkholderia ubonensis	environmental	soil	
101571.119	SRR1956124	Burkholderia ubonensis	environmental	soil	
101571.12	SRR1956359	Burkholderia ubonensis	environmental	soil	
101571.120	SRR1956125	Burkholderia ubonensis	environmental	soil	
101571.121	SRR1956126	Burkholderia ubonensis	environmental	soil	
101571.122	SRR1956128	Burkholderia ubonensis	environmental	soil	
101571.123	SRR1956130	Burkholderia ubonensis	environmental	soil	
101571.124	SRR1956132	Burkholderia ubonensis	environmental	soil	
101571.125	SRR1956131	Burkholderia ubonensis	environmental	soil	
101571.126	SRR1956134	Burkholderia ubonensis	environmental	soil	
101571.127	SRR1956135	Burkholderia ubonensis	environmental	soil	
101571.128	SRR1956136	Burkholderia ubonensis	environmental	soil	
101571.129	SRR1956141	Burkholderia ubonensis	environmental	soil	
101571.13	SRR1956090	Burkholderia ubonensis	environmental	soil	
101571.130	SRR1956143	Burkholderia ubonensis	environmental	soil	
101571.131	SRR1956146	Burkholderia ubonensis	environmental	soil	
101571.132	SRR1956145	Burkholderia ubonensis	environmental	soil	
101571.133	SRR1956148	Burkholderia ubonensis	environmental	soil	
101571.134	SRR1956147	Burkholderia ubonensis	environmental	soil	
101571.135	SRR1956149	Burkholderia ubonensis	environmental	soil	
101571.136	SRR1956058	Burkholderia ubonensis	environmental	soil	
101571.137	SRR1956034	Burkholderia ubonensis	environmental	soil	
101571.138	SRR1956059	Burkholderia ubonensis	environmental	soil	
101571.139	SRR1956065	Burkholderia ubonensis	environmental	soil	
101571.14	SRR1956358	Burkholderia ubonensis	environmental	soil	
101571.140	SRR1956060	Burkholderia ubonensis	environmental	soil	
101571.141	SRR1956106	Burkholderia ubonensis	environmental	soil	
101571.142	SRR1956119	Burkholderia ubonensis	environmental	soil	
101571.143	SRR1956120	Burkholderia ubonensis	environmental	soil	
101571.144	SRR1956133	Burkholderia ubonensis	environmental	soil	
101571.145	SRR1956138	Burkholderia ubonensis	environmental	soil	
101571.146	SRR1956144	Burkholderia ubonensis	environmental	soil	
101571.147	SRR1956048	Burkholderia ubonensis	environmental	soil	
101571.148	SRR1956061	Burkholderia ubonensis	environmental	soil	
101571.149	SRR1956115	Burkholderia ubonensis	environmental	soil	
101571.15	SRR1956438	Burkholderia ubonensis	environmental	soil	
101571.150	SRR1956121	Burkholderia ubonensis	environmental	soil	
101571.151	SRR1956140	Burkholderia ubonensis	environmental	water	
101571.152	SRR1956151	Burkholderia ubonensis	environmental	water	
101571.153	SRR1956153	Burkholderia ubonensis	environmental	soil	
101571.154	SRR1956081	Burkholderia ubonensis	environmental	soil	
101571.155	SRR1956066	Burkholderia ubonensis	environmental	soil	
101571.156	SRR1956082	Burkholderia ubonensis	environmental	soil	
101571.157	SRR1956084	Burkholderia ubonensis	environmental	soil	
101571.158	SRR1956085	Burkholderia ubonensis	environmental	soil	
101571.159	SRR1956158	Burkholderia ubonensis	environmental	soil	
101571.16	SRR1956357	Burkholderia ubonensis	environmental	soil	
101571.160	SRR1956162	Burkholderia ubonensis	environmental	soil	
101571.161	SRR1956070	Burkholderia ubonensis	environmental	soil	
101571.162	SRR1956161	Burkholderia ubonensis	environmental	soil	
101571.163	SRR1956075	Burkholderia ubonensis	environmental	soil	
101571.164	SRR1956159	Burkholderia ubonensis	environmental	soil	
101571.165	SRR1956071	Burkholderia ubonensis	environmental	soil	
101571.166	SRR1956163	Burkholderia ubonensis	environmental	soil	
101571.167	SRR1956164	Burkholderia ubonensis	environmental	soil	
101571.168	SRR1956166	Burkholderia ubonensis	environmental	soil	
101571.169	SRR1956167	Burkholderia ubonensis	environmental	soil	
101571.17	SRR1956432	Burkholderia ubonensis	environmental	soil	
101571.170	SRR1956180	Burkholderia ubonensis	environmental	soil	
101571.171	SRR1956179	Burkholderia ubonensis	environmental	soil	
101571.172	SRR1956181	Burkholderia ubonensis	environmental	soil	
101571.173	SRR1956076	Burkholderia ubonensis	environmental	soil	
101571.174	SRR1956184	Burkholderia ubonensis	environmental	soil	
101571.175	SRR1956182	Burkholderia ubonensis	environmental	soil	
101571.176	SRR1956188	Burkholderia ubonensis	environmental	soil	
