Database Name	General Source	Specific Source	Disease	Clinical/Healthy
abdomen	abdomen	abdomen		clinical
abdominal	abdomen	abdomen		clinical
abdominal fluid	abdomen	abdomen		clinical
abdominal pain	abdomen	abdomen		clinical
ascites	abdomen	abdomen		clinical
ascitic fluid	abdomen	abdomen		clinical
iai	abdomen	abdomen	intra-abdominal tract infection	clinical
intra-abdominal	abdomen	abdomen		clinical
intra-abdominal abscess	abdomen	abdomen	abscess	clinical
intra-abdominal infection	abdomen	abdomen	intra-abdominal infection	clinical
peritoneal fluid	abdomen	peritoneum		clinical
peritonitis	abdomen	peritoneum	peritonitis	clinical
amniotic fluid	amniotic fluid	amniotic fluid		clinical
bone	bone and joint	bone		clinical
osteomyelitis	bone and joint	bone	osteomyelitis	clinical
joint	bone and joint	joint		clinical
joint of pelvis	bone and joint	joint		clinical
septic arthritis	bone and joint	joint	septic arthritis	clinical
joint fluid	bone and joint	synovial fluid		clinical
synovial fluid	bone and joint	synovial fluid		clinical
brain	brain, spinal cord	brain		clinical
brain abscess	brain, spinal cord	brain	brain abscess	clinical
cerebro-spinal fluid	brain, spinal cord	cerebrospinal fluid		clinical
cerebrospinal fluid	brain, spinal cord	cerebrospinal fluid		clinical
csf	brain, spinal cord	cerebrospinal fluid		clinical
human cerebrospinal fluid	brain, spinal cord	cerebrospinal fluid		clinical
spinal fluid	brain, spinal cord	cerebrospinal fluid		clinical
the cerebrospinal fluid of a single patient suffering from acute streptococcal meningitis	brain, spinal cord	cerebrospinal fluid	meningitis	clinical
bacterial meningitidis	brain, spinal cord		meningitis	clinical
bacterial meningitis	brain, spinal cord		meningitis	clinical
meningitis	brain, spinal cord		meningitis	clinical
bacteraemia	circulatory system	blood	bacteremia	clinical
bacteremia	circulatory system	blood	bacteremia	clinical
bacteriemia	circulatory system	blood	bacteremia	clinical
bacterimia	circulatory system	blood	bacteremia	clinical
blood	circulatory system	blood		clinical
blood	circulatory system	blood		clinical
blood 	circulatory system	blood		clinical
blood from patient with bacteremia	circulatory system	blood	bacteremia	clinical
blood infection	circulatory system	blood	blood infection	clinical
blood plasma	circulatory system	blood		clinical
blood sample	circulatory system	blood		clinical
blood sample from patient with bacteremia	circulatory system	blood	bacteremia	clinical
blood sample of individual with bacteremia	circulatory system	blood	bacteremia	clinical
blood stream	circulatory system	blood		clinical
blood stream infection	circulatory system	blood	bloodstream infection	clinical
blood stream infection	circulatory system	blood		clinical
blood stream infections	circulatory system	blood		clinical
blood, central line	circulatory system	blood		clinical
bloodstream	circulatory system	blood		clinical
bloodstream infection	circulatory system	blood	bloodstream infection	clinical
bodily fluid; blood	circulatory system	blood		clinical
central venous catheter	circulatory system	blood		clinical
clinical specimen, blood	circulatory system	blood		clinical
enterococcus bacteremia	circulatory system	blood	bacteremia	clinical
haemophagocytic lymphohistiocytosis	circulatory system	blood	haemophagocytic lymphohistiocytosis	clinical
human blood	circulatory system	blood		clinical
human blood (homo sapiens)	circulatory system	blood		clinical
hus	circulatory system	blood	hemolytic uremic syndrome	clinical
lemierre's syndrome	circulatory system	blood	lemierres syndrome	clinical
peripheral blood	circulatory system	blood		clinical
plasma cell leukemia	circulatory system	blood	plasma cell leukemia	clinical
pneumococcal hemolytic uremic syndrome	circulatory system	blood	hemolytic uremic syndrome	clinical
blood sepsis	circulatory system	blood	sepsis	clinical
endocarditis	circulatory system	endocardium	endocarditis	clinical
endocarditis	circulatory system	endocardium	endocarditis	clinical
infective endocarditis	circulatory system	endocardium	infective endocarditis	clinical
subacute bacterial endocarditis	circulatory system	endocardium	endocarditis	clinical
hemolytic uremic syndrome	circulatory system		hemolytic uremic syndrome	clinical
hemolytic uremic syndrome	circulatory system		hemolytic uremic syndrome	clinical
hemolytic uremic syndrome	circulatory system		hemolytic uremic syndrome	clinical
hemolytic uremic syndrome (hus)	circulatory system		hemolytic uremic syndrome	clinical
ear	ear	ear		clinical
ear swab	ear	ear		clinical
middle ear	ear	middle ear		clinical
otitis media	ear	middle ear	otitis media	clinical
cornea	eye	cornea		clinical
corneal scraping	eye	cornea		clinical
keratitis	eye	cornea	keratitis	clinical
microbial keratitis	eye	cornea	microbial keratitis	clinical
conjunctiva	eye	eye		clinical
conjunctivitis	eye	eye	conjunctivitis	clinical
eye	eye	eye		clinical
eye infection	eye	eye	eye infection	clinical
general eye	eye	eye		clinical
human eye	eye	eye		clinical
right conjunctiva of a child with trachoma	eye	eye	trachoma	clinical
trachoma	eye	eye	trachoma	clinical
gall bladder	gall bladder	gall bladder		clinical
bile	GI tract and stool	bile		clinical
bile (fluid)	GI tract and stool	bile		clinical
other (bile)	GI tract and stool	bile		clinical
gastrointestinal tract; colon	GI tract and stool	colon		clinical
duodenal cancer	GI tract and stool	duodenum	duodenal cancer	clinical
duodenal mucosa of celiac disease patient	GI tract and stool	duodenum	celiac disease	clinical
duodenal ulcer	GI tract and stool	duodenum	duodenal ulcer	clinical
duodenum	GI tract and stool	duodenum		clinical
intestinal cancer	GI tract and stool	intestine	cancer	clinical
intestinal metaplasia	GI tract and stool	intestine	intestinal metaplasia	clinical
intestinal metaplasia	GI tract and stool	intestine	intestinal metaplasia	clinical
intestine	GI tract and stool	intestine		clinical
intestine of patients with crohn's disease	GI tract and stool	intestine	chrons disease	clinical
surgical intestinal biopsy	GI tract and stool	intestine		clinical
peri-anal swab culture	GI tract and stool	peri-anus		clinical
perirectal	GI tract and stool	perirectum		clinical
perirectal swab	GI tract and stool	perirectum	diptheria	clinical
rectal	GI tract and stool	rectum		clinical
rectal carriage	GI tract and stool	rectum		clinical
rectal colonization	GI tract and stool	rectum		clinical
rectal swab	GI tract and stool	rectum		clinical
rectal swap	GI tract and stool	rectum		clinical
rectum	GI tract and stool	rectum		clinical
gastric biopsies	GI tract and stool	stomach		clinical
gastric biopsy tissue	GI tract and stool	stomach		clinical
gastric cancer	GI tract and stool	stomach	gastric cancer	clinical
gastric cancer	GI tract and stool	stomach	gastric cancer	clinical
gastric deseases	GI tract and stool	stomach		clinical
gastric mucosa	GI tract and stool	stomach		clinical
gastric sample	GI tract and stool	stomach		clinical
gastric tissue	GI tract and stool	stomach		clinical
gastric ulcer	GI tract and stool	stomach	gastric ulcer	clinical
gastroscopic antral biopsy specimen	GI tract and stool	stomach		clinical
human stomach	GI tract and stool	stomach		clinical
stomach	GI tract and stool	stomach		clinical
cholera	GI tract and stool		cholera	clinical
clinical sample from patient with gastroenteritis	GI tract and stool		gastroenteritis	clinical
clostridium difficile colitis	GI tract and stool		clostridium difficile colitis	clinical
crohn's disease	GI tract and stool		crohns disease	clinical
crohns disease	GI tract and stool		crohns disease	clinical
functional dyspepsia	GI tract and stool		functional dyspepsia	clinical
gastric biopsy	GI tract and stool			clinical
gastric diseases	GI tract and stool		gastric disease	clinical
gastritis	GI tract and stool		gastritis	clinical
gastroenteritis	GI tract and stool		gastroenteritis	clinical
gastroenteritis	GI tract and stool		gastroenteritis	clinical
gastrointestinal	GI tract and stool			clinical
gastrointestinal tract	GI tract and stool			clinical
gastrointestinal tract; gut	GI tract and stool			clinical
gut	GI tract and stool			clinical
human gut	GI tract and stool			clinical
gut microbiota	GI tract and stool			clinical
hospitalized patient with severe cholera-like disease	GI tract and stool		cholera-like disease	clinical
intra-abdominal tract infection	GI tract and stool		itra-abdominal tract infection	clinical
itra-abdominal tract infection	GI tract and stool		itra-abdominal tract infection	clinical
mild gastritis	GI tract and stool		gastritis	clinical
non-atrophic gastritis	GI tract and stool		non-atrophic gastritis	clinical
premature infant gut	GI tract and stool			clinical
salmonella gastroenteritis	GI tract and stool		salmonella gastroenteritis	clinical
severe gastritis	GI tract and stool		gastritis	clinical
the human gastrointestinal tract	GI tract and stool			clinical
ulcerative colitis	GI tract and stool		ulcerative colitis	clinical
vibrio gastroenteritis	GI tract and stool		vibrio gastroenteritis	clinical
396 human stool samples we identified 7,381 such metagenomic species	GI tract and stool			clinical
adult feces	GI tract and stool			clinical
bloody diarrhea	GI tract and stool		diarrhea	clinical
bloody diarrhoea	GI tract and stool		diarrhea	clinical
diarreal	GI tract and stool		diarrhea	clinical
diarrhea	GI tract and stool		diarrhea	clinical
diarrheal	GI tract and stool		diarrhea	clinical
diarrheal disease	GI tract and stool		diarrhea	clinical
diarrheal stool	GI tract and stool		diarrhea	clinical
diarrhoea	GI tract and stool		diarrhea	clinical
diarrhoea, antibiotic-associated	GI tract and stool		diarrhea	clinical
diarrhoeal disease	GI tract and stool		diarrhea	clinical
diarrhoeal stool	GI tract and stool			clinical
faecal	GI tract and stool			clinical
faeces	GI tract and stool			clinical
Human fecal samples	GI tract and stool			clinical
fecal	GI tract and stool			clinical
fecal sample	GI tract and stool			clinical
fecal swab	GI tract and stool			clinical
feces	GI tract and stool			clinical
feces	GI tract and stool			clinical
feces (healthy adult)	GI tract and stool			healthy
feces from female	GI tract and stool			clinical
feces from healthy adult	GI tract and stool			healthy
feces from healthy adult	GI tract and stool			healthy
host stool sample	GI tract and stool			clinical
human faecal sample	GI tract and stool			clinical
human faeces	GI tract and stool			clinical
Human (feces)	GI tract and stool			clinical
human feces	GI tract and stool			clinical
human stool	GI tract and stool			clinical
infant feces	GI tract and stool			clinical
infant stool	GI tract and stool			clinical
isolated from diarrheal patient	GI tract and stool		diarrhea	clinical
isolated from diarrheal patient	GI tract and stool		diarrhea	clinical
korean adult feces	GI tract and stool			clinical
mild, self-limited diarrhea	GI tract and stool		diarrhea	clinical
patient stool	GI tract and stool			clinical
preterm infant faecal sample	GI tract and stool			clinical
seafood comsumption associated diarrhea	GI tract and stool		seafood comsumption associated diarrhea	clinical
secretory diarrhea	GI tract and stool		diarrhea	clinical
stool	GI tract and stool			clinical
stool sample	GI tract and stool			clinical
stool sample from 52 year old healthy male	GI tract and stool			healthy
stool sample from 53 year old healthy female	GI tract and stool			healthy
stool sample from 84 year old male with stage 3 colorectal cancer	GI tract and stool		colorectal cancer	clinical
stool sample from patient with cholera	GI tract and stool		cholera	clinical
stool sample of individual with bacteremia	GI tract and stool			clinical
stool specimen from a guillain-barre syndrome patient	GI tract and stool		guillain-barre syndrome	clinical
stool, clinical	GI tract and stool			clinical
watery diarrhea	GI tract and stool		diarrhea	clinical
groin	groin	groin		clinical
human milk	human milk	human milk		clinical
liver abscess	liver	liver	liver abscess	clinical
lymph node	lymphatic system	lymphatic system		clinical
malt lymphoma	lymphatic system	lymphatic system	lymphoma	clinical
aspiration pneumonia	nasal, oral,  pharynx and respiratory	lung	pneumonia	clinical
bal	nasal, oral,  pharynx and respiratory	lung		clinical
bronch	nasal, oral,  pharynx and respiratory	lung		clinical
bronchi	nasal, oral,  pharynx and respiratory	lung		clinical
bronchial	nasal, oral,  pharynx and respiratory	lung		clinical
bronchial alveolar lavage	nasal, oral,  pharynx and respiratory	lung		clinical
bronchial aspirate	nasal, oral,  pharynx and respiratory	lung		clinical
bronchial fluid	nasal, oral,  pharynx and respiratory	lung		clinical
bronchial lavage	nasal, oral,  pharynx and respiratory	lung		clinical
bronchial secretions	nasal, oral,  pharynx and respiratory	lung		clinical
bronchial wash	nasal, oral,  pharynx and respiratory	lung		clinical
bronchial washing	nasal, oral,  pharynx and respiratory	lung		clinical
bronchial washings	nasal, oral,  pharynx and respiratory	lung		clinical
bronchiole; epithelial lining fluid	nasal, oral,  pharynx and respiratory	lung		clinical
broncho-alveolar lavage	nasal, oral,  pharynx and respiratory	lung		clinical
bronchoalveolar lavage	nasal, oral,  pharynx and respiratory	lung		clinical
bronchoalveolar lavage fluid	nasal, oral,  pharynx and respiratory	lung		clinical
bronchoaspiration material	nasal, oral,  pharynx and respiratory	lung		clinical
bronchoscope from bronchoalveolar lavage (bal)	nasal, oral,  pharynx and respiratory	lung		clinical
bronchoscopy	nasal, oral,  pharynx and respiratory	lung		clinical
broncoalveolar lavage	nasal, oral,  pharynx and respiratory	lung		clinical
chronic obstructive pulmonary disease	nasal, oral,  pharynx and respiratory	lung	chronic obstructive pulmonary disease	clinical
copd	nasal, oral,  pharynx and respiratory	lung	chronic obstructive pulmonary disease	clinical
cystic fibrosis lung infection	nasal, oral,  pharynx and respiratory	lung	cystic fibrosis	clinical
epithelial lining fluid; bronchiole 	nasal, oral,  pharynx and respiratory	lung		clinical
lower respiratory tract infections	nasal, oral,  pharynx and respiratory	lung	lower respiratory tract infection	clinical
lower respiratory tract secrection	nasal, oral,  pharynx and respiratory	lung		clinical
lung	nasal, oral,  pharynx and respiratory	lung		clinical
lung disease	nasal, oral,  pharynx and respiratory	lung		clinical
lung infections	nasal, oral,  pharynx and respiratory	lung	lung infection	clinical
lungs of cystic fibrosis patient a	nasal, oral,  pharynx and respiratory	lung	cystic fibrosis	clinical
lungs of cystic fibrosis patient c	nasal, oral,  pharynx and respiratory	lung	cystic fibrosis	clinical
m. abscessus lung disease	nasal, oral,  pharynx and respiratory	lung	m. abscessus lung disease	clinical
nontuberculous mycobacterial lung disease	nasal, oral,  pharynx and respiratory	lung	nontuberculous mycobacterial lung disease	clinical
pleural fluid	nasal, oral,  pharynx and respiratory	lung		clinical
pnemonia	nasal, oral,  pharynx and respiratory	lung	pneumonia	clinical
pneumonia	nasal, oral,  pharynx and respiratory	lung	pneumonia	clinical
pneumonia due to klebsiella pneumoniae	nasal, oral,  pharynx and respiratory	lung	pneumonia due to klebsiella pneumoniae	clinical
pneumoniae	nasal, oral,  pharynx and respiratory	lung	pneumonia	clinical
pulmonary	nasal, oral,  pharynx and respiratory	lung		clinical
pulmonary disease	nasal, oral,  pharynx and respiratory	lung	pulmonary disease	clinical
pulmonary infection	nasal, oral,  pharynx and respiratory	lung	pulmonary infection	clinical
pulmonary infection	nasal, oral,  pharynx and respiratory	lung	pulmonary infection	clinical
pulmonary tuberculosis	nasal, oral,  pharynx and respiratory	lung	pulmonary tuberculosis	clinical
ventilator associated pneumonia	nasal, oral,  pharynx and respiratory	lung	pneumonia	clinical
ventilator-associated pneumonia	nasal, oral,  pharynx and respiratory	lung	pneumonia	clinical
airways; nasal	nasal, oral,  pharynx and respiratory	nasal		clinical
bodily fluid; nasal	nasal, oral,  pharynx and respiratory	nasal		clinical
bodily fluid; nose	nasal, oral,  pharynx and respiratory	nasal		clinical
female nares	nasal, oral,  pharynx and respiratory	nasal		clinical
nares	nasal, oral,  pharynx and respiratory	nasal		clinical
nasal	nasal, oral,  pharynx and respiratory	nasal		clinical
nasal cavity	nasal, oral,  pharynx and respiratory	nasal		clinical
nasal lavage	nasal, oral,  pharynx and respiratory	nasal		clinical
nasal swab	nasal, oral,  pharynx and respiratory	nasal		clinical
nose	nasal, oral,  pharynx and respiratory	nasal		clinical
pharyngotonsillitis	nasal, oral,  pharynx and respiratory	nasal, oral and pharynx	pharyngotonsillitis	clinical
airways; nasopharynx	nasal, oral,  pharynx and respiratory	nasopharynx		clinical
nasopharyngeal swab	nasal, oral,  pharynx and respiratory	nasopharynx		clinical
nasopharyngeal swabs	nasal, oral,  pharynx and respiratory	nasopharynx		clinical
nasopharynx	nasal, oral,  pharynx and respiratory	nasopharynx		clinical
nasophaynx	nasal, oral,  pharynx and respiratory	nasopharynx		clinical
the nasopharynx of a child	nasal, oral,  pharynx and respiratory	nasopharynx		clinical
dental abscess	nasal, oral,  pharynx and respiratory	oral cavity	dental abscess	clinical
dental plaque	nasal, oral,  pharynx and respiratory	oral cavity	dental plaque	clinical
gingivitis	nasal, oral,  pharynx and respiratory	oral cavity	gingivitis	clinical
oral	nasal, oral,  pharynx and respiratory	oral cavity		clinical
oral cavity	nasal, oral,  pharynx and respiratory	oral cavity		clinical
oral cavity- mouth	nasal, oral,  pharynx and respiratory	oral cavity		clinical
oral; gingival crevices	nasal, oral,  pharynx and respiratory	oral cavity		clinical
periodontal pocket	nasal, oral,  pharynx and respiratory	oral cavity		clinical
periodontitis	nasal, oral,  pharynx and respiratory	oral cavity	periodontitis	clinical
plaque (caries +)	nasal, oral,  pharynx and respiratory	oral cavity	plaque	clinical
plaque (carries -)	nasal, oral,  pharynx and respiratory	oral cavity	plaque	clinical
saliva	nasal, oral,  pharynx and respiratory	oral cavity		clinical
subgingival dental plaque	nasal, oral,  pharynx and respiratory	oral cavity	subgingival dental plaque	clinical
subgingival plaque	nasal, oral,  pharynx and respiratory	oral cavity	subgingival dental plaque	clinical
subgingival plaque biofilm	nasal, oral,  pharynx and respiratory	oral cavity		clinical
subgingival plaque, from a periodontal pocket at least 6mm deep	nasal, oral,  pharynx and respiratory	oral cavity	plaque	clinical
supragingival plaque isolated from 88 juvenile twins	nasal, oral,  pharynx and respiratory	oral cavity	supragingival plaque 	clinical
the human oral cavity	nasal, oral,  pharynx and respiratory	oral cavity		clinical
tongue	nasal, oral,  pharynx and respiratory	oral cavity		clinical
oropharynx	nasal, oral,  pharynx and respiratory	oropharynx		clinical
pharyngeal exudate	nasal, oral,  pharynx and respiratory	pharynx		clinical
pharyngeal mucosa	nasal, oral,  pharynx and respiratory	pharynx		clinical
pharyngeal swab	nasal, oral,  pharynx and respiratory	pharynx		clinical
pharyngitis	nasal, oral,  pharynx and respiratory	pharynx	pharyngitis	clinical
pharynx	nasal, oral,  pharynx and respiratory	pharynx		clinical
chronic rhinosinusitis	nasal, oral,  pharynx and respiratory	sinus		clinical
sinus	nasal, oral,  pharynx and respiratory	sinus		clinical
sputum or oropharyngeal	nasal, oral,  pharynx and respiratory	sputum		clinical
Clinical, sputum	nasal, oral,  pharynx and respiratory	sputum		clinical
cf sputum	nasal, oral,  pharynx and respiratory	sputum	cystic fibrosis	clinical
cystic fibrosis sputum	nasal, oral,  pharynx and respiratory	sputum	cystic fibrosis	clinical
lung; sputum	nasal, oral,  pharynx and respiratory	sputum		clinical
sputum of adult cystic fibrosis patient	nasal, oral,  pharynx and respiratory	sputum	cystic fibrosis	clinical
sputum of child cystic fibrosis patient	nasal, oral,  pharynx and respiratory	sputum	cystic fibrosis	clinical
sputum sample	nasal, oral,  pharynx and respiratory	sputum		clinical
sputum; lung	nasal, oral,  pharynx and respiratory	sputum		clinical
the sputum of an individual with cystic fibrosis	nasal, oral,  pharynx and respiratory	sputum	cystic fibrosis	clinical
sputum from cystic fibrosis patients	nasal, oral,  pharynx and respiratory	sputum	cystic fibrosis	clinical
human sputum	nasal, oral,  pharynx and respiratory	sputum		clinical
sputum	nasal, oral,  pharynx and respiratory	sputum		clinical
sputum induced	nasal, oral,  pharynx and respiratory	sputum		clinical
bodily fluid; throat	nasal, oral,  pharynx and respiratory	throat		clinical
fever, throat pain	nasal, oral,  pharynx and respiratory	throat	fever, throat pain	clinical
sore throat	nasal, oral,  pharynx and respiratory	throat	sore throat	clinical
throat	nasal, oral,  pharynx and respiratory	throat		clinical
throat culture	nasal, oral,  pharynx and respiratory	throat		clinical
throat swab	nasal, oral,  pharynx and respiratory	throat		clinical
throat swab	nasal, oral,  pharynx and respiratory	throat		clinical
school-age children suffering with faringo-tonsillitis from bologna metropolitan area were collected	nasal, oral,  pharynx and respiratory	tonsil	tonsillitis	clinical
tonsillitis	nasal, oral,  pharynx and respiratory	tonsil	tonsillitis	clinical
endotracheal aspirate	nasal, oral,  pharynx and respiratory	trachea		clinical
endotracheal aspiration	nasal, oral,  pharynx and respiratory	trachea		clinical
endotracheal tube	nasal, oral,  pharynx and respiratory	trachea		clinical
trach	nasal, oral,  pharynx and respiratory	trachea		clinical
trach asp	nasal, oral,  pharynx and respiratory	trachea		clinical
trach aspirate	nasal, oral,  pharynx and respiratory	trachea		clinical
trachael aspirate	nasal, oral,  pharynx and respiratory	trachea		clinical
trachea	nasal, oral,  pharynx and respiratory	trachea		clinical
tracheal aspirate	nasal, oral,  pharynx and respiratory	trachea		clinical
tracheal aspiration	nasal, oral,  pharynx and respiratory	trachea		clinical
